AÑO,RATIO,SECTOR,VALOR
2012,NÚMERO DE EMPRESAS,SOFTWARE,1087
2013,NÚMERO DE EMPRESAS,SOFTWARE,1081
2009,NÚMERO DE EMPRESAS,TELECOMUNICACIONES,530
2010,NÚMERO DE EMPRESAS,TELECOMUNICACIONES,546
2011,NÚMERO DE EMPRESAS,TELECOMUNICACIONES,565
2012,NÚMERO DE EMPRESAS,TELECOMUNICACIONES,564
2013,NÚMERO DE EMPRESAS,TELECOMUNICACIONES,612
2009,NÚMERO DE EMPRESAS,Total general,3190
2010,NÚMERO DE EMPRESAS,Total general,3306
2011,NÚMERO DE EMPRESAS,Total general,3503
2012,NÚMERO DE EMPRESAS,Total general,3637
2013,NÚMERO DE EMPRESAS,Total general,3666
2009,EXPORTACIONES NETAS,ALQUILER HARDWARE,12010.98
2010,EXPORTACIONES NETAS,ALQUILER HARDWARE,0
2011,EXPORTACIONES NETAS,ALQUILER HARDWARE,0
2012,EXPORTACIONES NETAS,ALQUILER HARDWARE,0
2013,EXPORTACIONES NETAS,ALQUILER HARDWARE,0
2009,EXPORTACIONES NETAS,COMERCIALIZACIÓN HARDWARE,901287.36
2010,EXPORTACIONES NETAS,COMERCIALIZACIÓN HARDWARE,1712538.8
2011,EXPORTACIONES NETAS,COMERCIALIZACIÓN HARDWARE,4727215.95
2012,EXPORTACIONES NETAS,COMERCIALIZACIÓN HARDWARE,4931542.63
2013,EXPORTACIONES NETAS,COMERCIALIZACIÓN HARDWARE,4536860.74
2009,EXPORTACIONES NETAS,CONTENIDOS,5188943.18
2010,EXPORTACIONES NETAS,CONTENIDOS,7562809.31
2011,EXPORTACIONES NETAS,CONTENIDOS,12186334.08
2012,EXPORTACIONES NETAS,CONTENIDOS,14706750.28
2013,EXPORTACIONES NETAS,CONTENIDOS,13761275.71
2009,EXPORTACIONES NETAS,FABRICACIÓN HARDWARE,20894996.14
2010,EXPORTACIONES NETAS,FABRICACIÓN HARDWARE,16118808.97
2011,EXPORTACIONES NETAS,FABRICACIÓN HARDWARE,25530906.22
2012,EXPORTACIONES NETAS,FABRICACIÓN HARDWARE,21590548.37
2013,EXPORTACIONES NETAS,FABRICACIÓN HARDWARE,18396937.77
2009,EXPORTACIONES NETAS,SOFTWARE,33154994.35
2010,EXPORTACIONES NETAS,SOFTWARE,58642420.28
2011,EXPORTACIONES NETAS,SOFTWARE,69331490.25
2012,EXPORTACIONES NETAS,SOFTWARE,66734693.23
2013,EXPORTACIONES NETAS,SOFTWARE,57710907.89
2009,EXPORTACIONES NETAS,TELECOMUNICACIONES,199196740.4
2010,EXPORTACIONES NETAS,TELECOMUNICACIONES,186258791.1
2011,EXPORTACIONES NETAS,TELECOMUNICACIONES,197487506.1
2012,EXPORTACIONES NETAS,TELECOMUNICACIONES,176771717.8
2013,EXPORTACIONES NETAS,TELECOMUNICACIONES,155726248.7

