AÑO,RATIO,SECTOR,VALOR
2011,TOTAL ACTIVO CORRIENTE,SOFTWARE,171589928
2012,TOTAL ACTIVO CORRIENTE,SOFTWARE,229213299
2013,TOTAL ACTIVO CORRIENTE,SOFTWARE,258009994.7
2009,TOTAL ACTIVO CORRIENTE,TELECOMUNICACIONES,1406249319
2010,TOTAL ACTIVO CORRIENTE,TELECOMUNICACIONES,1961276566
2011,TOTAL ACTIVO CORRIENTE,TELECOMUNICACIONES,1463712008
2012,TOTAL ACTIVO CORRIENTE,TELECOMUNICACIONES,1273706193
2013,TOTAL ACTIVO CORRIENTE,TELECOMUNICACIONES,1333521532
2009,TOTAL PASIVO CORRIENTE,ALQUILER HARDWARE,1830963.03
2010,TOTAL PASIVO CORRIENTE,ALQUILER HARDWARE,1619155.59
2011,TOTAL PASIVO CORRIENTE,ALQUILER HARDWARE,1863659.04
2012,TOTAL PASIVO CORRIENTE,ALQUILER HARDWARE,2131053.32
2013,TOTAL PASIVO CORRIENTE,ALQUILER HARDWARE,2405345.83
2009,TOTAL PASIVO CORRIENTE,COMERCIALIZACIÓN HARDWARE,140983333.5
2010,TOTAL PASIVO CORRIENTE,COMERCIALIZACIÓN HARDWARE,191926211.1
2011,TOTAL PASIVO CORRIENTE,COMERCIALIZACIÓN HARDWARE,218943661.3
2012,TOTAL PASIVO CORRIENTE,COMERCIALIZACIÓN HARDWARE,257867704.5
2013,TOTAL PASIVO CORRIENTE,COMERCIALIZACIÓN HARDWARE,270337060
2009,TOTAL PASIVO CORRIENTE,CONTENIDOS,226312967.5
2010,TOTAL PASIVO CORRIENTE,CONTENIDOS,246300109.8
2011,TOTAL PASIVO CORRIENTE,CONTENIDOS,286582845.5
2012,TOTAL PASIVO CORRIENTE,CONTENIDOS,336701102.4
2013,TOTAL PASIVO CORRIENTE,CONTENIDOS,361042967.7
2009,TOTAL PASIVO CORRIENTE,FABRICACIÓN HARDWARE,74174963.5
2010,TOTAL PASIVO CORRIENTE,FABRICACIÓN HARDWARE,83572566.36
2011,TOTAL PASIVO CORRIENTE,FABRICACIÓN HARDWARE,104837107.2
